time,activation,force,erg_signal
12.144000,1.000000,-131.936941,0.016644
12.146000,1.000000,-131.936940,0.018113
12.148000,1.000000,-131.936940,0.021056
12.150000,1.000000,-131.936939,0.019807
12.152000,1.000000,-131.936939,0.017873
12.154000,1.000000,-131.936938,0.016754
12.156000,1.000000,-131.936938,0.017276
12.158000,1.000000,-131.936937,0.016605
12.160000,1.000000,-131.936936,0.017967
12.162000,1.000000,-131.936936,0.018499
12.164000,1.000000,-131.936935,0.018692
12.166000,1.000000,-131.936934,0.020599
12.168000,1.000000,-131.936934,0.019382
12.170000,1.000000,-131.936933,0.017824
12.172000,1.000000,-131.936933,0.018505
12.174000,1.000000,-131.936932,0.017990
12.176000,1.000000,-131.936931,0.017491
12.178000,1.000000,-131.936931,0.018303
12.180000,1.000000,-131.936930,0.020293
12.182000,1.000000,-131.936929,0.018375
12.184000,1.000000,-131.936929,0.018123
12.186000,1.000000,-131.936928,0.017543
12.188000,1.000000,-131.936927,0.019015
12.190000,1.000000,-131.936927,0.020031
12.192000,1.000000,-131.936926,0.021284
12.194000,1.000000,-131.936925,0.022266
12.196000,1.000000,-131.936925,0.020402
12.198000,1.000000,-131.936924,0.018364
12.200000,1.000000,-131.936923,0.018538
12.202000,1.000000,-131.936923,0.019241
12.204000,1.000000,-131.936922,0.019301
12.206000,1.000000,-131.936921,0.020308
12.208000,1.000000,-131.936921,0.020573
12.210000,1.000000,-131.936920,0.020992
12.212000,1.000000,-131.936919,0.019155
12.214000,1.000000,-131.936919,0.021604
12.216000,1.000000,-131.936918,0.021106
12.218000,1.000000,-131.936917,0.019990
12.220000,1.000000,-131.936917,0.019187
12.222000,1.000000,-131.936916,0.018920
12.224000,1.000000,-131.936915,0.019025
12.226000,1.000000,-131.936915,0.019049
12.228000,1.000000,-131.936914,0.019839
12.230000,1.000000,-131.936913,0.019342
12.232000,1.000000,-131.936913,0.021271
12.234000,1.000000,-131.936912,0.021406
12.236000,1.000000,-131.936912,0.019577
